SceneID,Section,PromptType,ParagraphIndex,ColumnF_CanvaImagePrompts,ColumnG_TextOverlayContent,ColumnL_ReferencesChicago,OverlayContent,Placement,Style,Visuals,VisualElements,References
ALN-0001,Introduction,Daytime temple court prayers,1,"A crowded scene in the sunlit courts of the ancient Jerusalem Temple, where three thousand diverse figures in simple 1st-century tunics and robes gather in fervent public prayer, hands raised toward the shadowed porticoes and stone pillars, faces illuminated by soft daylight filtering through arches, conveying a sense of raw communal energy amid the weathered limestone architecture and distant city skyline Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""keyword"", ""content"": ""Early Christian Worship"", ""timing_hint"": ""beginning""}, {""type"": ""keyword"", ""content"": ""Jerusalem Believers"", ""timing_hint"": ""beginning""}, {""type"": ""keyword"", ""content"": ""Temple Home Practices"", ""timing_hint"": ""beginning""}, {""type"": ""paraphrase_quote"", ""content"": ""Early joyful gatherings launched two millennia of Christian worship"", ""timing_hint"": ""middle""}]",[],Daytime Temple Court Prayers,side explainer box,mini side-definition box with connector arrows,historical figures; doctrinal contrast; architecture,historical figures; doctrinal contrast; architecture,
ALN-0002,Introduction,Early Jerusalem house fellowship,2,"In a modest 1st-century Jewish home in Jerusalem, a small group of diverse early Christians in simple tunics and cloaks gathers around a low wooden table laden with unleavened bread and cups, one figure breaking bread in a gesture of blessing while others listen attentively to an apostle- teacher gesturing from a scroll; through an open window, the shadowed silhouette of the Second Temple looms in the distant twilight, evoking public devotion blended with intimate prayer; warm candlelight casts deep shadows across weathered stone walls and clay lamps, creating a focal point on the shared meal with Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""quote"", ""content"": ""Breaking Bread"", ""timing_hint"": ""end""}, {""type"": ""paraphrase_quote"", ""content"": ""Christian meals evolve from homes to liturgical spaces, rooted in Scripture."", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Breaking Bread Eucharistic Meal Early"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Last Supper Jesus' Final Meal"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Patristic Writings Texts Early Church"", ""timing_hint"": ""middle""}, {""type"": ""keyword"", ""content"": ""Early Christian Practices"", ""timing_hint"": ""beginning""}]","[{""citation_number"": ""1"", ""sentence_excerpt"": ""They hit the temple daily but shared those intimate meals in houses, blending Jewish public devotion with something deeply personal."", ""citation_short"": ""Wallnofer, A Biblically Faithful Participation (2024)."", ""citation_full"": ""Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).""}]",Early Jerusalem House Fellowship,center quote box,"centered elegant quote box (serif, large)",historical figures; doctrinal contrast; architecture; quote treatment,historical figures; doctrinal contrast; architecture; quote treatment,"Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024)."
ALN-0003,Introduction,Liturgical meal evolution,2,"In a shadowed 4th-century basilica interior transitioning from house church simplicity, robed figures in early patristic-era vestments gather around a stone altar for the breaking of bread, one central cleric elevating a loaf in ritual gesture amid flickering oil lamps and scattered ancient codices on stands; architectural elements arched niches and fresco remnants evoke the shift from temple-shadowed homes to formalized spaces, with a faint path of light from a high window illuminating primary source scrolls in the foreground, symbolizing enduring scriptural heartbeat through historical pressures; deep Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""quote"", ""content"": ""Breaking Bread"", ""timing_hint"": ""end""}, {""type"": ""paraphrase_quote"", ""content"": ""Christian meals evolve from homes to liturgical spaces, rooted in Scripture."", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Breaking Bread Eucharistic Meal Early"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Last Supper Jesus' Final Meal"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Patristic Writings Texts Early Church"", ""timing_hint"": ""middle""}, {""type"": ""keyword"", ""content"": ""Early Christian Practices"", ""timing_hint"": ""beginning""}]","[{""citation_number"": ""1"", ""sentence_excerpt"": ""They hit the temple daily but shared those intimate meals in houses, blending Jewish public devotion with something deeply personal."", ""citation_short"": ""Wallnofer, A Biblically Faithful Participation (2024)."", ""citation_full"": ""Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).""}]",Liturgical Meal Evolution,center quote box,"centered elegant quote box (serif, large)",historical figures; doctrinal contrast; architecture; quote treatment,historical figures; doctrinal contrast; architecture; quote treatment,"Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024)."
ALN-0004,Introduction,Hybrid worship in Jerusalem,3,"A split composition divided by a subtle shadowed vertical line, left side showing a diverse group of early Jewish converts in period-accurate 1st-century temple courtyard attire—simple tunics and cloaks—engaged in public prayer amid weathered stone columns and arched porticos under soft daylight filtering through; right side depicting the same group gathered intimately around a low wooden table in a modest Jerusalem home interior lit by warm oil lamp flicker, sharing unleavened bread and cups in a meal of fellowship, with woven mats on earthen floors and hanging linens; central focal point bridging the split is Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""personnel"", ""content"": ""Jesus Christ (c. 4 BC–AD 30) - Founder of Christianity"", ""timing_hint"": ""beginning""}, {""type"": ""personnel"", ""content"": ""Luke the Evangelist (c. AD 10–84) - Author of Gospel and Acts"", ""timing_hint"": ""beginning""}, {""type"": ""definition"", ""content"": ""Pentecost Jewish Feast Weeks Birth"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Bread-breaking Communal Meal Recalling Jesus'"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Proselytes Converts Judaism Paganism"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Gentiles Non-jewish Peoples Nations"", ""timing_hint"": ""middle""}]","[{""citation_number"": ""1"", ""sentence_excerpt"": ""knitting together those three thousand converts"", ""citation_short"": ""Wallnofer, A Biblically Faithful Participation in The Lord’s Supper (2024)."", ""citation_full"": ""Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).""}, {""citation_number"": ""2"", ""sentence_excerpt"": ""with bread-breaking marking loyalty in every phase"", ""citation_short"": ""Elsley, Annotations on the Four Gospels and the Acts of the Apostles (1824)."", ""citation_full"": ""J. Elsley and James Slade, Annotations on the Four Gospels and the Acts of the Apostles: Compiled and .. (C. & J. Rivington, 1824).""}]",Hybrid Worship Jerusalem,side explainer box,mini side-definition box with connector arrows,split composition; doctrinal contrast; architecture,split composition; doctrinal contrast; architecture,"Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).; J. Elsley and James Slade, Annotations on the Four Gospels and the Acts of the Apostles: Compiled and .. (C. & J. Rivington, 1824)."
ALN-0005,Introduction,Early Christian eucharistic prayer gathering,4,"In a dimly lit, humble stone-walled room of a late first-century Syrian home, a small group of robed figures in simple tunics gathers around a low wooden table, one figure raising a clay cup in prayer while another breaks a loaf of bread, evoking the Didache's eucharistic rite with expressions of solemn thanks, scattered oil lamps casting warm flickering shadows on aged parchment scrolls nearby, the composition centered on the cup and loaf as focal points with layered figures in midground and background suggesting community purity tied to baptism, deep chiaroscuro highlighting the ritual separation from casual Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""paraphrase_quote"", ""content"": ""Didache and Ignatius transform meals into unified eucharistic liturgy."", ""timing_hint"": ""middle""}, {""type"": ""personnel"", ""content"": ""Ignatius of Antioch (c. 35-107) - Bishop of Antioch"", ""timing_hint"": ""beginning""}, {""type"": ""definition"", ""content"": ""Didache Early Christian Instructional Manual"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Eucharist Thanksgiving Rite Bread Cup"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Agape Communal Love Feast Meals"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Liturgy Structured Communal Worship Rite"", ""timing_hint"": ""middle""}]","[{""citation_number"": ""1"", ""sentence_excerpt"": ""It calls for thanks over David's holy vine and life's broken bits gathered up."", ""citation_short"": ""Wallnofer, Biblically Faithful Participation in The Lord’s Supper (2024)."", ""citation_full"": ""Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).""}, {""citation_number"": ""3"", ""sentence_excerpt"": ""It calls for thanks over David's holy vine and life's broken bits gathered up."", ""citation_short"": ""Jefford, Didache."", ""citation_full"": ""Clayton N. Jefford, Didache: The Teaching of the Twelve Apostles.""}, {""citation_number"": ""4"", ""sentence_excerpt"": ""turning Acts 2's home rite into real liturgy."", ""citation_short"": ""Eusebius, Ecclesiastical History."", ""citation_full"": ""Eusebius, Ecclesiastical History, ed. Kirsopp Lake.""}]",Early Christian Eucharistic Prayer Gathering,side explainer box,mini side-definition box with connector arrows,historical figures; doctrinal contrast; architecture,historical figures; doctrinal contrast; architecture,"Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).; Clayton N. Jefford, Didache: The Teaching of the Twelve Apostles.; Eusebius, Ecclesiastical History, ed. Kirsopp Lake."
ALN-0006,Introduction,Bishop leading unified eucharist,4,"Around 110 AD in an Antiochene house church with weathered stone arches and terracotta floors, a central bishop figure in a plain dalmatic extends hands over a shared loaf and cup on an altar- table, surrounded by a unified circle of diverse robed congregants in attentive postures, symbolizing Ignatius' call for one true eucharist under episcopal leadership and church unity, faint outlines of fellowship scrolls in the shadowed background, candlelight pooling softly on the bread-breaking focal point with deep misty recesses emphasizing separation from splintered meals, composition layering the bishop in Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""paraphrase_quote"", ""content"": ""Didache and Ignatius transform meals into unified eucharistic liturgy."", ""timing_hint"": ""middle""}, {""type"": ""personnel"", ""content"": ""Ignatius of Antioch (c. 35-107) - Bishop of Antioch"", ""timing_hint"": ""beginning""}, {""type"": ""definition"", ""content"": ""Didache Early Christian Instructional Manual"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Eucharist Thanksgiving Rite Bread Cup"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Agape Communal Love Feast Meals"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Liturgy Structured Communal Worship Rite"", ""timing_hint"": ""middle""}]","[{""citation_number"": ""1"", ""sentence_excerpt"": ""It calls for thanks over David's holy vine and life's broken bits gathered up."", ""citation_short"": ""Wallnofer, Biblically Faithful Participation in The Lord’s Supper (2024)."", ""citation_full"": ""Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).""}, {""citation_number"": ""3"", ""sentence_excerpt"": ""It calls for thanks over David's holy vine and life's broken bits gathered up."", ""citation_short"": ""Jefford, Didache."", ""citation_full"": ""Clayton N. Jefford, Didache: The Teaching of the Twelve Apostles.""}, {""citation_number"": ""4"", ""sentence_excerpt"": ""turning Acts 2's home rite into real liturgy."", ""citation_short"": ""Eusebius, Ecclesiastical History."", ""citation_full"": ""Eusebius, Ecclesiastical History, ed. Kirsopp Lake.""}]",Bishop Leading Unified Eucharist,side explainer box,mini side-definition box with connector arrows,historical figures; doctrinal contrast; architecture,historical figures; doctrinal contrast; architecture,"Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).; Clayton N. Jefford, Didache: The Teaching of the Twelve Apostles.; Eusebius, Ecclesiastical History, ed. Kirsopp Lake."
ALN-0007,Introduction,Early Christian house church gathering,5,"In a dimly lit 2nd-century Roman home interior with rough stone walls and simple wooden furnishings, a small diverse group of believers in tunics and cloaks gathers around a low table under flickering candlelight; one figure reads aloud from a rolled parchment of apostolic writings in the foreground, while others listen attentively in the midground, with shared bread and cup elements on the table evoking communal remembrance; background shows shadowed doorways suggesting a private, orderly meeting space, conveying a sense of defiant joy and apostolic continuity in a shadowed, intimate atmosphere. Rendered Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""paraphrase_quote"", ""content"": ""Justin Martyr describes early Sunday worship as readings, prayers, and shared Eucharist."", ""timing_hint"": ""middle""}, {""type"": ""personnel"", ""content"": ""Justin Martyr (c. 100-165) - Early Christian Apologist"", ""timing_hint"": ""beginning""}, {""type"": ""keyword"", ""content"": ""Sunday Worship"", ""timing_hint"": ""beginning""}, {""type"": ""keyword"", ""content"": ""Apology Key"", ""timing_hint"": ""beginning""}, {""type"": ""keyword"", ""content"": ""Acts 2 Connection"", ""timing_hint"": ""beginning""}]","[{""citation_number"": ""1"", ""sentence_excerpt"": ""Sun's day: gather for apostle or prophet readings, a talk, prayers, then bread and wine offered with thanks by the leader, shared out, even sent to absentees—straight link to Acts 2's breaking bread."", ""citation_short"": ""Wallnofer, Biblically Faithful Participation (2024)."", ""citation_full"": ""Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).""}, {""citation_number"": ""5"", ""sentence_excerpt"": ""Sun's day: gather for apostle or prophet readings, a talk, prayers, then bread and wine offered with thanks by the leader, shared out, even sent to absentees—straight link to Acts 2's breaking bread."", ""citation_short"": ""Saint Justin Martyr, First Apology."", ""citation_full"": ""Saint Justin Martyr, The First Apology The Second Apology Dialogue with Trypho.""}]",Early Christian House Church Gathering,side explainer box,mini side-definition box with connector arrows,historical figures; doctrinal contrast; architecture,historical figures; doctrinal contrast; architecture,"Joshua Michael Wallnofer, A Biblically Faithful Participation in The Lord’s Supper Following the Model of Justin Martyr (Scholars Crossing, 2024).; Saint Justin Martyr, The First Apology The Second Apology Dialogue with Trypho."
ALN-0008,Introduction,House-church eucharist ritual,6,"In a dimly lit 3rd-century Roman house-church interior with shadowed stone walls and simple wooden furnishings, a central bishop figure in a plain tunic stands at a low table holding a chalice and loaf of bread, surrounded by a small gathered community of men and women in period tunics kneeling or seated on the floor, faint outlines of olives and cheese on the table, atmospheric depth from candlelight casting long shadows, evoking post-baptism communion and prayers on creation, incarnation, and end times. Rendered as a heavy, hand-worked Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""personnel"", ""content"": ""Hippolytus of Rome (c. 170-235) - Early Christian Theologian"", ""timing_hint"": ""beginning""}, {""type"": ""personnel"", ""content"": ""Justin Martyr (c. 100-165) - Early Christian Apologist"", ""timing_hint"": ""beginning""}, {""type"": ""paraphrase_quote"", ""content"": ""Apostolic Tradition structures liturgy and church roles."", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Apostolic Tradition Third-century Church Order"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Eucharist Sacramental Thanksgiving Over Bread"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Incarnation God Assuming Human Form"", ""timing_hint"": ""middle""}]","[{""citation_number"": ""6"", ""sentence_excerpt"": ""By the third century, Hippolytus of Rome nails it down in the Apostolic Tradition, around 215 AD—a church manual on ordinations, baptisms, eucharist."", ""citation_short"": ""Apostolic Tradition Hermeneia."", ""citation_full"": ""Apostolic Tradition Hermeneia, Hermeneia A Critical Historical Commentary on t.""}]",House-church Eucharist Ritual,side explainer box,mini side-definition box with connector arrows,historical figures; doctrinal contrast; architecture,historical figures; doctrinal contrast; architecture,"Apostolic Tradition Hermeneia, Hermeneia A Critical Historical Commentary on t."
ALN-0009,Introduction,Early church organizational roles,6,"A shadowed assembly in a 3rd-century Roman atrium- space with weathered columns and tiled floor, a bishop in simple robes gesturing toward grouped figures including veiled widows seated together, a reader holding a scroll, and subdeacons arranging vessels, all in tunics appropriate to the era, central focus on shared bread-breaking elements a communal loaf, conveying disciplined structure from apostolic roots amid deep tonal contrasts from low interior light Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""personnel"", ""content"": ""Hippolytus of Rome (c. 170-235) - Early Christian Theologian"", ""timing_hint"": ""beginning""}, {""type"": ""personnel"", ""content"": ""Justin Martyr (c. 100-165) - Early Christian Apologist"", ""timing_hint"": ""beginning""}, {""type"": ""paraphrase_quote"", ""content"": ""Apostolic Tradition structures liturgy and church roles."", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Apostolic Tradition Third-century Church Order"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Eucharist Sacramental Thanksgiving Over Bread"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Incarnation God Assuming Human Form"", ""timing_hint"": ""middle""}]","[{""citation_number"": ""6"", ""sentence_excerpt"": ""By the third century, Hippolytus of Rome nails it down in the Apostolic Tradition, around 215 AD—a church manual on ordinations, baptisms, eucharist."", ""citation_short"": ""Apostolic Tradition Hermeneia."", ""citation_full"": ""Apostolic Tradition Hermeneia, Hermeneia A Critical Historical Commentary on t.""}]",Early Church Organizational Roles,side explainer box,mini side-definition box with connector arrows,historical figures; doctrinal contrast; architecture,historical figures; doctrinal contrast; architecture,"Apostolic Tradition Hermeneia, Hermeneia A Critical Historical Commentary on t."
ALN-0010,Introduction,Fourth-century scholar writing ecclesiastical history,7,"In a shadowed fourth-century scriptorium in Caesarea, a robed scholar seated at a wooden desk laden with scrolls and an open codex, intently inscribing with a reed pen by the warm flicker of an oil lamp, surrounded by faint symbolic vignettes in the background of apostles sharing bread at a simple meal table and early Christians gathered in prayer amid subtle hints of persecution distant shadowed figures, the composition centered on the act of writing to evoke unbroken patristic links from Acts to contemporary worship without temple reliance, deep chiaroscuro lighting with candlelight highlighting the page Rendered as a heavy, hand-worked charcoal drawing on rough-textured aged parchment, with thick graphite strokes, deep smudged carbon blacks, and fine cross-hatching. The style mirrors 19th-century tonalism: soft-focus atmospheric edges and a strong sense of physical depth. The image is predominantly monochrome-rich charcoal blacks, charcoal-dust greys, and warm ivory-parchment midtones-with a restrained, ghostly tint of color drawn ONLY from the TheoEngage signature palette: oxidized gold ochre for candlelight and focal warmth; aged lapis indigo for deep, misty shadows; and a muted Byzantine crimson for subtle gravity. Colors appear as thin, dried pigment washes over the charcoal. Lighting is dramatic chiaroscuro, featuring high tonal contrast, deep velvety shadows, and softly glowing highlights. Visible paper fiber, toothy grain, and organic imperfections throughout. The final image must NOT read as digital art: no clean lines, no plastic surfaces, no smooth gradients, and no hyper-sharp AI detail. It must feel like an original, physical artifact found in a library archive.","[{""type"": ""personnel"", ""content"": ""Eusebius of Caesarea (c. 260-339) - Bishop and Church Historian"", ""timing_hint"": ""beginning""}, {""type"": ""paraphrase_quote"", ""content"": ""Unbroken worship from apostles to medieval Jerusalem"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Typikon Liturgical Book Regulating Services"", ""timing_hint"": ""middle""}, {""type"": ""definition"", ""content"": ""Eucharist Sacred Meal Bread Wine"", ""timing_hint"": ""middle""}, {""type"": ""keyword"", ""content"": ""Ecclesiastical History"", ""timing_hint"": ""beginning""}, {""type"": ""keyword"", ""content"": ""Greek Liturgy"", ""timing_hint"": ""beginning""}]","[{""citation_number"": ""E4"", ""sentence_excerpt"": ""Eusebius of Caesarea picks up the thread in his early fourth-century Ecclesiastical History, tracking worship through persecutions via apostle lines and meals in books I-V."", ""citation_short"": ""Eusebius, ed. Kirsopp Lake, Ecclesiastical History."", ""citation_full"": ""Eusebius, Ecclesiastical History Books I-V, ed. Kirsopp Lake, z-librar.""}, {""citation_number"": ""E7"", ""sentence_excerpt"": ""He hands down patristic links from Acts players to his day, proving bread-breaking's nonstop run sans temple."", ""citation_short"": ""Galadza, Greek Liturgy in Crusader Jerusalem (2020)."", ""citation_full"": ""Daniel Galadza, Greek Liturgy in Crusader Jerusalem: Witnesses of Liturgical Life at the Holy Sepulchre and St Sabas Lavra (Routledge, 2020).""}]",Fourth-century Scholar Writing Ecclesiastical History,side explainer box,mini side-definition box with connector arrows,historical figures; doctrinal contrast; architecture,historical figures; doctrinal contrast; architecture,"Eusebius, Ecclesiastical History Books I-V, ed. Kirsopp Lake, z-librar.; Daniel Galadza, Greek Liturgy in Crusader Jerusalem: Witnesses of Liturgical Life at the Holy Sepulchre and St Sabas Lavra (Routledge, 2020)."
